Date, GDP ,INDPRO,UNRATE,WALCL,PCE,M1,M2
1/31/10," 14,721,350,000,000.00 ",91.6642, 0.098 ," 2,256,424,000,000.00 "," 10,001,800,000,000.00 "," 1,679,074,999,999.99 "," 8,440,075,000,000.00 "
2/28/10," 14,721,350,000,000.00 ",91.994, 0.098 ," 2,267,424,750,000.00 "," 10,030,600,000,000.00 "," 1,694,699,999,999.99 "," 8,489,650,000,000.00 "
3/31/10," 14,721,350,000,000.00 ",92.5993, 0.099 ," 2,298,183,400,000.00 "," 10,089,100,000,000.00 "," 1,710,500,000,000.00 "," 8,492,000,000,000.00 "
4/30/10," 14,926,098,000,000.00 ",92.9436, 0.099 ," 2,328,737,000,000.00 "," 10,112,900,000,000.00 "," 1,693,850,000,000.00 "," 8,517,325,000,000.00 "
5/31/10," 14,926,098,000,000.00 ",94.2997, 0.096 ," 2,336,799,500,000.00 "," 10,131,000,000,000.00 "," 1,712,159,999,999.99 "," 8,574,680,000,000.00 "
6/30/10," 14,926,098,000,000.00 ",94.4397, 0.094 ," 2,337,481,800,000.00 "," 10,151,400,000,000.00 "," 1,732,450,000,000.00 "," 8,598,224,999,999.99 "
7/31/10," 15,079,917,000,000.00 ",94.8536, 0.094 ," 2,332,588,500,000.00 "," 10,184,700,000,000.00 "," 1,722,750,000,000.00 "," 8,598,675,000,000.00 "
8/31/10," 15,079,917,000,000.00 ",95.1448, 0.095 ," 2,317,172,250,000.00 "," 10,228,200,000,000.00 "," 1,745,900,000,000.00 "," 8,653,039,999,999.99 "
9/30/10," 15,079,917,000,000.00 ",95.3637, 0.095 ," 2,301,947,800,000.00 "," 10,249,000,000,000.00 "," 1,764,475,000,000.00 "," 8,684,375,000,000.00 "
10/31/10," 15,240,843,000,000.00 ",95.1109, 0.094 ," 2,304,649,000,000.00 "," 10,304,700,000,000.00 "," 1,782,925,000,000.00 "," 8,732,150,000,000.00 "
11/30/10," 15,240,843,000,000.00 ",95.1383, 0.098 ," 2,318,469,750,000.00 "," 10,354,700,000,000.00 "," 1,818,240,000,000.00 "," 8,755,119,999,999.99 "
12/31/10," 15,240,843,000,000.00 ",96.0599, 0.093 ," 2,392,691,800,000.00 "," 10,392,100,000,000.00 "," 1,833,925,000,000.00 "," 8,788,950,000,000.00 "
1/31/11," 15,285,828,000,000.00 ",95.9364, 0.091 ," 2,443,221,500,000.00 "," 10,435,500,000,000.00 "," 1,853,119,999,999.99 "," 8,821,480,000,000.00 "
2/28/11," 15,285,828,000,000.00 ",95.5154, 0.090 ," 2,502,997,250,000.00 "," 10,470,100,000,000.00 "," 1,872,625,000,000.00 "," 8,871,375,000,000.00 "
3/31/11," 15,285,828,000,000.00 ",96.4643, 0.090 ," 2,585,821,000,000.00 "," 10,550,500,000,000.00 "," 1,890,875,000,000.00 "," 8,913,025,000,000.00 "
4/30/11," 15,496,188,999,999.90 ",96.1187, 0.091 ," 2,672,712,750,000.00 "," 10,587,600,000,000.00 "," 1,896,700,000,000.00 "," 8,966,725,000,000.00 "
5/31/11," 15,496,188,999,999.90 ",96.3377, 0.090 ," 2,749,065,000,000.00 "," 10,612,000,000,000.00 "," 1,935,619,999,999.99 "," 9,027,200,000,000.00 "
6/30/11," 15,496,188,999,999.90 ",96.6154, 0.091 ," 2,829,826,400,000.00 "," 10,636,800,000,000.00 "," 1,952,100,000,000.00 "," 9,098,475,000,000.00 "
7/31/11," 15,591,850,000,000.00 ",97.1292, 0.090 ," 2,870,763,500,000.00 "," 10,677,500,000,000.00 "," 1,986,600,000,000.00 "," 9,261,100,000,000.00 "
8/31/11," 15,591,850,000,000.00 ",97.6731, 0.090 ," 2,862,173,000,000.00 "," 10,700,600,000,000.00 "," 2,105,080,000,000.00 "," 9,503,439,999,999.99 "
9/30/11," 15,591,850,000,000.00 ",97.6494, 0.090 ," 2,857,717,000,000.00 "," 10,738,100,000,000.00 "," 2,119,424,999,999.99 "," 9,536,075,000,000.00 "
10/31/11," 15,796,460,000,000.00 ",98.3222, 0.088 ," 2,854,649,500,000.00 "," 10,753,100,000,000.00 "," 2,143,700,000,000.00 "," 9,570,400,000,000.00 "
11/30/11," 15,796,460,000,000.00 ",98.2433, 0.086 ," 2,825,922,200,000.00 "," 10,759,500,000,000.00 "," 2,167,450,000,000.00 "," 9,611,400,000,000.00 "
