Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1/29/10,-0.97,-0.07,-0.45,-0.21,0.2,0
2/1/10,1.39,-0.14,0.91,-0.14,0.69,0
2/2/10,1.21,-0.32,0.66,0.19,0.69,0
2/3/10,-0.49,0.05,-0.38,0.18,-0.15,0
2/4/10,-3.14,-0.34,-1.19,0.41,-0.03,0
2/5/10,0.29,-0.07,-0.06,-0.58,-0.16,0
2/8/10,-0.79,-0.05,-0.35,0.16,0.16,0
2/9/10,1.33,0.35,0.59,0.26,0.41,0
2/10/10,-0.17,0.29,0.29,-0.51,-0.03,0
2/11/10,1.13,0.66,0.07,0.08,-0.17,0
2/12/10,-0.07,0.96,0.15,-0.18,0.28,0
2/16/10,1.75,-0.13,1.02,0,0.09,0
2/17/10,0.49,0.17,0.12,0.26,-0.06,0
2/18/10,0.62,0.11,0,0.28,-0.13,0
2/19/10,0.28,0.08,0.48,-0.27,-0.02,0
2/22/10,-0.05,0.04,0.57,-0.65,-0.13,0
2/23/10,-1.24,0.13,-0.94,0.28,-0.01,0
2/24/10,0.94,-0.26,0.53,-0.24,0.03,0
2/25/10,-0.13,0.28,0.28,0.11,-0.03,0
2/26/10,0.13,-0.42,0.39,0.05,-0.07,0
3/1/10,1.2,1.18,0.07,0.05,0.52,0
3/2/10,0.32,0.64,0.19,-0.17,-0.07,0
3/3/10,0.09,0.15,0.09,0.13,0.28,0
3/4/10,0.37,0.14,0.23,-0.03,0.25,0
3/5/10,1.43,0.5,0.61,-0.16,0.27,0
3/8/10,0.02,0.12,0.26,-0.19,0.1,0
3/9/10,0.21,0.25,-0.1,0.02,0.03,0
3/10/10,0.53,0.15,0.68,-0.46,0.31,0
3/11/10,0.43,-0.07,-0.11,-0.23,0.12,0
3/12/10,-0.02,0,-0.28,0.5,-0.07,0
3/15/10,-0.02,-0.35,-0.48,0.18,-0.06,0
3/16/10,0.78,-0.07,0.59,-0.13,0.16,0
3/17/10,0.57,0.06,0.36,-0.11,0.06,0
