DATE,M1,M2
4/5/10,1686,8507.9
4/12/10,1697.7,8515.1
4/19/10,1699.4,8509.3
4/26/10,1692.3,8537
5/3/10,1728.3,8553.3
5/10/10,1710.7,8563.7
5/17/10,1702.8,8586.9
5/24/10,1707.5,8572.9
5/31/10,1711.5,8596.6
6/7/10,1717.9,8596.3
6/14/10,1722.3,8584.5
6/21/10,1741.3,8606.3
6/28/10,1748.3,8605.8
7/5/10,1719.3,8573.5
7/12/10,1722.3,8595.5
7/19/10,1718.8,8602.1
7/26/10,1730.6,8623.6
8/2/10,1729.2,8635.4
8/9/10,1743.4,8648.5
8/16/10,1742.2,8656.2
8/23/10,1757.4,8656.8
8/30/10,1757.3,8668.3
9/6/10,1749.5,8673.5
9/13/10,1768.6,8683.7
9/20/10,1769.6,8683.2
9/27/10,1770.2,8697.1
10/4/10,1776.2,8713.7
10/11/10,1789.5,8733.6
10/18/10,1776.5,8740
10/25/10,1789.5,8741.3
11/1/10,1766.4,8746.4
11/8/10,1867.7,8744.4
11/15/10,1802,8749.7
11/22/10,1819,8761.1
11/29/10,1836.1,8774
12/6/10,1812.3,8771
12/13/10,1829,8783.7
12/20/10,1840.8,8790.4
12/27/10,1853.6,8810.7
1/3/11,1849.9,8787.3
1/10/11,1834.5,8809
1/17/11,1858.3,8853.2
1/24/11,1854.1,8820.7
1/31/11,1868.8,8837.2
2/7/11,1850.4,8856.5
2/14/11,1859.1,8864.5
2/21/11,1885.8,8878.6
2/28/11,1895.2,8885.9
3/7/11,1875.6,8898.6
3/14/11,1889.6,8901.4
3/21/11,1901.2,8920.6
3/28/11,1897.1,8931.5
4/4/11,1895.4,8940.6
4/11/11,1896.4,8950.7
4/18/11,1892.8,8970.4
4/25/11,1902.2,9005.2
5/2/11,1920.6,9018.4
5/9/11,1928.1,9017
5/16/11,1930.7,9026.9
5/23/11,1942.2,9029.3
5/30/11,1956.5,9044.4
6/6/11,1936,9046
6/13/11,1951.5,9061
6/20/11,1961.5,9103.9
6/27/11,1959.4,9183
7/4/11,1985.7,9229.6
7/11/11,1983.7,9240.5
7/18/11,1975.8,9266.9
7/25/11,2001.2,9307.4
8/1/11,2063.5,9453.9
8/8/11,2094.4,9480
8/15/11,2109.1,9509
8/22/11,2136,9537.3
8/29/11,2122.4,9537
9/5/11,2110.1,9535.1
9/12/11,2118.7,9529.8
9/19/11,2120.9,9526
9/26/11,2128,9553.4
10/3/11,2176.7,9563
10/10/11,2150.8,9570.7
10/17/11,2128.2,9579.6
10/24/11,2126.6,9560
10/31/11,2136.2,9578.7
11/7/11,2147.3,9602.4
11/14/11,2171.9,9620.5
11/21/11,2179.4,9607.8
11/28/11,2171.2,9614.9
12/5/11,2158.5,9625.4
12/12/11,2165.7,9646.8
12/19/11,2149.8,9638.6
12/26/11,2156.3,9639.4
1/2/12,2199.2,9716.5
1/9/12,2199.3,9723.9
1/16/12,2198.1,9733.2
1/23/12,2207.4,9729
1/30/12,2204.3,9736
2/6/12,2197.3,9751.5
2/13/12,2211.8,9772
2/20/12,2217.4,9778.1
2/27/12,2210.4,9779.7
3/5/12,2213.7,9801.2
3/12/12,2228.9,9810.9
3/19/12,2227.9,9805.4
3/26/12,2227.2,9826.3
4/2/12,2247.1,9849.2
4/9/12,2249.9,9865.7
4/16/12,2241.8,9880.3
4/23/12,2247.4,9864
4/30/12,2253.5,9885.1
5/7/12,2241.3,9899.4
5/14/12,2267.3,9897.2
5/21/12,2261.9,9905.7
5/28/12,2256.6,9905.8
6/4/12,2255.2,9919.6
6/11/12,2290.5,9971.7
6/18/12,2274.6,9974.5
6/25/12,2272.9,9981.1
7/2/12,2284.4,10007.4
7/9/12,2337.5,10030.4
7/16/12,2316.2,10051.2
7/23/12,2317.7,10047
7/30/12,2311.7,10065.3
8/6/12,2310.6,10078.1
8/13/12,2350,10115.2
8/20/12,2341.8,10112.6
8/27/12,2346.2,10134.8
9/3/12,2420.7,10161.9
9/10/12,2405.4,10180.1
9/17/12,2379.6,10201.3
9/24/12,2378.6,10196.7
10/1/12,2382.4,10245.4
10/8/12,2422.4,10243.9
10/15/12,2422.2,10251.3
10/22/12,2417.1,10243.6
10/29/12,2429.4,10287.7
11/5/12,2430.2,10336
11/12/12,2414.8,10306.6
11/19/12,2420.5,10297
11/26/12,2405.2,10321
12/3/12,2467.5,10361.2
12/10/12,2469.3,10393.5
12/17/12,2438.6,10440.3
12/24/12,2474.4,10470.8
12/31/12,2459.7,10514.4
1/7/13,2459.6,10500.5
1/14/13,2480.1,10472.7
1/21/13,2488.5,10454.5
1/28/13,2465.2,10462.2
2/4/13,2474,10458.9
2/11/13,2484.3,10472.4
2/18/13,2469.4,10455.4
2/25/13,2465.9,10467.6
3/4/13,2461.8,10502.1
3/11/13,2468.3,10512.6
3/18/13,2466.9,10530.7
3/25/13,2488.8,10548.2
4/1/13,2511.8,10597
4/8/13,2486.4,10564.5
4/15/13,2514.6,10574.3
4/22/13,2527.4,10572.2
4/29/13,2534.5,10583.6
5/6/13,2501.5,10592.4
5/13/13,2523.3,10607.6
5/20/13,2524.1,10604.1
5/27/13,2535.9,10622
6/3/13,2585.8,10640.2
6/10/13,2538.9,10658.9
6/17/13,2513.2,10659.1
6/24/13,2522.4,10655.1
7/1/13,2526.6,10707.1
7/8/13,2526.9,10683.9
7/15/13,2544,10711.6
7/22/13,2565.6,10736.8
7/29/13,2552.2,10747
8/5/13,2533.6,10758.7
8/12/13,2545.5,10773.7
8/19/13,2537.8,10764.1
8/26/13,2562.8,10796.5
9/2/13,2585.5,10811.6
9/9/13,2581.2,10803.9
9/16/13,2572.1,10805.7
9/23/13,2590.7,10840.3
9/30/13,2589.9,10888.3
10/7/13,2568.8,10892.8
10/14/13,2641.1,10930.1
10/21/13,2662.6,10988.5
10/28/13,2625.4,10967.8
11/4/13,2604.8,10950.1
11/11/13,2615,10932.5
11/18/13,2622.8,10938.4
11/25/13,2627.9,10966.2
12/2/13,2654.5,10986.1
12/9/13,2672.8,11003.5
12/16/13,2656.2,11006.5
12/23/13,2682.7,11028.6
12/30/13,2648.4,11026.7
1/6/14,2668.2,11036.2
1/13/14,2673.9,11034.9
1/20/14,2704.5,11065.1
1/27/14,2694.1,11102.2
2/3/14,2766.9,11100.2
2/10/14,2719.4,11135.9
2/17/14,2711.3,11167.4
2/24/14,2707.1,11162.9
3/3/14,2764.5,11150
3/10/14,2762.5,11168.2
3/17/14,2740.1,11188.1
3/24/14,2749.5,11210.6
3/31/14,2762.3,11211.5
4/7/14,2739.3,11215.6
4/14/14,2790,11236.9
4/21/14,2789.5,11239.7
4/28/14,2793.1,11283
5/5/14,2783.9,11285.2
5/12/14,2798.8,11296.9
5/19/14,2782.3,11298.5
5/26/14,2792.3,11334.5
6/2/14,2820.5,11364.7
6/9/14,2831.3,11347.7
6/16/14,2825.5,11356.6
6/23/14,2829.2,11372.9
6/30/14,2834.5,11391.8
7/7/14,2812.5,11385.2
7/14/14,2853.2,11417.4
7/21/14,2860.9,11441.3
7/28/14,2841.4,11456.8
8/4/14,2841.9,11458.2
8/11/14,2807.8,11436.3
8/18/14,2781.3,11451.3
8/25/14,2794.1,11466.3
9/1/14,2809.6,11479.1
9/8/14,2841,11469.3
9/15/14,2870.6,11485.8
9/22/14,2873,11495.7
9/29/14,2874,11513.6
10/6/14,2851.7,11528.6
10/13/14,2857.2,11527
10/20/14,2862.6,11556
10/27/14,2869.6,11590.7
11/3/14,2919.6,11551.3
11/10/14,2891.6,11582.1
11/17/14,2871.4,11583.4
11/24/14,2880.7,11593.5
12/1/14,2885.7,11625.2
12/8/14,2929,11642.7
12/15/14,2944.2,11660.2
12/22/14,2959.7,11679.7
12/29/14,2937.8,11692.7
1/5/15,2934,11677.5
1/12/15,2930.6,11703.9
1/19/15,2917.8,11714.3
1/26/15,2935.5,11756.7
2/2/15,2999.4,11816.6
2/9/15,3002.2,11824.9
2/16/15,3005.6,11846
2/23/15,3006.4,11875.5
3/2/15,3015.5,11882.5
3/9/15,3013.2,11855.2
3/16/15,2995.8,11864.2
3/23/15,3000.2,11868.2
3/30/15,2987.5,11880.3
4/6/15,2977.8,11909.3
4/13/15,3014.8,11918.8
4/20/15,3015.8,11924.5
4/27/15,2994.4,11913
5/4/15,2995.3,11916.2
5/11/15,2997.1,11930.2
5/18/15,2970.3,11942.2
5/25/15,2994.8,11967.6
6/1/15,2977.1,11980.7
6/8/15,2990.7,11960.4
6/15/15,3012.6,11971.8
