Data provided by SimFin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in million USD,Q3 '09,Q4 '09,Q1 '10,Q2 '10,Q3 '10,Q4 '10,Q1 '11,Q2 '11,Q3 '11,Q4 '11,Q1 '12,Q2 '12,Q3 '12,Q4 '12,Q1 '13,Q2 '13,Q3 '13,Q4 '13,Q1 '14,Q2 '14,Q3 '14,Q4 '14,Q1 '15,Q2 '15,Q3 '15,Q4 '15,Q1 '16,Q2 '16,Q3 '16,Q4 '16,Q1 '17,Q2 '17,Q3 '17,Q4 '17,Q1 '18,Q2 '18,Q3 '18,Q4 '18,Q1 '19,Q2 '19,Q3 '19,Q4 '19,Q1 '20
,Revenue,"9,734","12,207","15,683","13,499","15,700","20,343","26,741","24,667","28,571","28,270","46,333","39,186","35,023","35,966","54,512","43,603","35,323","37,472","57,594","45,646","37,432","42,123","74,599","58,010","49,605","51,501","75,872","50,557","42,358","46,852","78,351","52,896","45,408","52,579","88,293","61,137","53,265","62,900","84,310","58,015","53,809","64,040","91,819"
,Cost of revenue,"-5,751","-7,102","-9,272","-7,874","-9,564","-12,831","-16,443","-14,449","-16,649","-16,890","-25,630","-20,622","-20,029","-21,565","-33,452","-27,254","-22,299","-23,601","-35,748","-27,699","-22,697","-26,114","-44,858","-34,354","-29,924","-30,953","-45,449","-30,636","-26,252","-29,039","-48,175","-32,305","-27,920","-32,648","-54,381","-37,715","-32,844","-38,816","-52,279","-36,194","-33,582","-39,727","-56,602"
,Gross Profit,"3,983","5,105","6,411","5,625","6,136","7,512","10,298","10,218","11,922","11,380","20,703","18,564","14,994","14,401","21,060","16,349","13,024","13,871","21,846","17,947","14,735","16,009","29,741","23,656","19,681","20,548","30,423","19,921","16,106","17,813","30,176","20,591","17,488","19,931","33,912","23,422","20,421","24,084","32,031","21,821","20,227","24,313","35,217"
,Operating Expenses,"-1,351","-1,421","-1,686","-1,646","-1,902","-2,065","-2,471","-2,344","-2,543","-2,670","-3,363","-3,180","-3,421","-3,457","-3,850","-3,791","-3,823","-3,841","-4,383","-4,354","-4,453","-4,844","-5,495","-5,378","-5,598","-5,925","-6,252","-5,934","-6,001","-6,052","-6,817","-6,494","-6,720","-6,811","-7,638","-7,528","-7,809","-7,966","-8,685","-8,406","-8,683","-8,688","-9,648"
,Operating Income (Loss),"2,632","3,684","4,725","3,979","4,234","5,447","7,827","7,874","9,379","8,710","17,340","15,384","11,573","10,944","17,210","12,558","9,201","10,030","17,463","13,593","10,282","11,165","24,246","18,278","14,083","14,623","24,171","13,987","10,105","11,761","23,359","14,097","10,768","13,120","26,274","15,894","12,612","16,118","23,346","13,415","11,544","15,625","25,569"
,Non-Operating Income (Loss),60,45,33,50,58,14,136,26,172,81,137,148,288,-51,462,347,234,113,246,225,202,307,170,286,390,439,402,155,364,427,821,587,540,797,756,274,672,303,560,378,367,502,349
,Pretax Income (Loss),"2,692","3,729","4,758","4,029","4,292","5,461","7,963","7,900","9,551","8,791","17,477","15,532","11,861","10,893","17,672","12,905","9,435","10,143","17,709","13,818","10,484","11,472","24,416","18,564","14,473","15,062","24,573","14,142","10,469","12,188","24,180","14,684","11,308","13,917","27,030","16,168","13,284","16,421","23,906","13,793","11,911","16,127","25,918"
,"Income Tax (Expense) Benefit, net",-864,"-1,197","-1,380",-955,"-1,039","-1,153","-1,959","-1,913","-2,243","-2,168","-4,413","-3,910","-3,037","-2,670","-4,594","-3,358","-2,535","-2,631","-4,637","-3,595","-2,736","-3,005","-6,392","-4,995","-3,796","-3,938","-6,212","-3,626","-2,673","-3,174","-6,289","-3,655","-2,591","-3,203","-6,965","-2,346","-1,765","-2,296","-3,941","-2,232","-1,867","-2,441","-3,682"
,Net Income Available to Common Shareholders,"1,828","2,532","3,378","3,074","3,253","4,308","6,004","5,987","7,308","6,623","13,064","11,622","8,824","8,223","13,078","9,547","6,900","7,512","13,072","10,223","7,748","8,467","18,024","13,569","10,677","11,124","18,361","10,516","7,796","9,014","17,891","11,029","8,717","10,714","20,065","13,822","11,519","14,125","19,965","11,561","10,044","13,686","22,236"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,in million USD,Q3 '09,Q4 '09,Q1 '10,Q2 '10,Q3 '10,Q4 '10,Q1 '11,Q2 '11,Q3 '11,Q4 '11,Q1 '12,Q2 '12,Q3 '12,Q4 '12,Q1 '13,Q2 '13,Q3 '13,Q4 '13,Q1 '14,Q2 '14,Q3 '14,Q4 '14,Q1 '15,Q2 '15,Q3 '15,Q4 '15,Q1 '16,Q2 '16,Q3 '16,Q4 '16,Q1 '17,Q2 '17,Q3 '17,Q4 '17,Q1 '18,Q2 '18,Q3 '18,Q4 '18,Q1 '19,Q2 '19,Q3 '19,Q4 '19,Q1 '20
,Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cash, Cash Equivalents & Short Term Investments","24,222","23,464","24,796","23,155","24,288","25,620","26,977","29,234","28,395","25,952","30,156","28,538","27,654","29,129","39,820","39,137","42,606","40,546","40,711","41,350","37,805","25,077","32,463","33,096","34,703","41,601","38,074","55,283","61,756","67,155","60,452","67,101","76,759","74,181","77,153","87,940","70,970","66,301","86,427","80,092","94,614","100,557","107,162"
