Date, GDP ,INDPRO,UNRATE,WALCL,PCE,M1,M2
1/31/10,14721350000000.00,91.66,0.10,2256424000000.00,10001800000000.00,1679074999999.99,8440075000000.00
2/28/10,14721350000000.00,91.99,0.10,2267424750000.00,10030600000000.00,1694699999999.99,8489650000000.00
3/31/10,14721350000000.00,92.60,0.10,2298183400000.00,10089100000000.00,1710500000000.00,8492000000000.00
4/30/10,14926098000000.00,92.94,0.10,2328737000000.00,10112900000000.00,1693850000000.00,8517325000000.00
5/31/10,14926098000000.00,94.30,0.10,2336799500000.00,10131000000000.00,1712159999999.99,8574680000000.00
6/30/10,14926098000000.00,94.44,0.09,2337481800000.00,10151400000000.00,1732450000000.00,8598224999999.99
7/31/10,15079917000000.00,94.85,0.09,2332588500000.00,10184700000000.00,1722750000000.00,8598675000000.00
8/31/10,15079917000000.00,95.14,0.10,2317172250000.00,10228200000000.00,1745900000000.00,8653039999999.99
9/30/10,15079917000000.00,95.36,0.10,2301947800000.00,10249000000000.00,1764475000000.00,8684375000000.00
10/31/10,15240843000000.00,95.11,0.09,2304649000000.00,10304700000000.00,1782925000000.00,8732150000000.00
11/30/10,15240843000000.00,95.14,0.10,2318469750000.00,10354700000000.00,1818240000000.00,8755119999999.99
12/31/10,15240843000000.00,96.06,0.09,2392691800000.00,10392100000000.00,1833925000000.00,8788950000000.00
1/31/11,15285828000000.00,95.94,0.09,2443221500000.00,10435500000000.00,1853119999999.99,8821480000000.00
2/28/11,15285828000000.00,95.52,0.09,2502997250000.00,10470100000000.00,1872625000000.00,8871375000000.00
3/31/11,15285828000000.00,96.46,0.09,2585821000000.00,10550500000000.00,1890875000000.00,8913025000000.00
4/30/11,15496188999999.90,96.12,0.09,2672712750000.00,10587600000000.00,1896700000000.00,8966725000000.00
5/31/11,15496188999999.90,96.34,0.09,2749065000000.00,10612000000000.00,1935619999999.99,9027200000000.00
6/30/11,15496188999999.90,96.62,0.09,2829826400000.00,10636800000000.00,1952100000000.00,9098475000000.00
7/31/11,15591850000000.00,97.13,0.09,2870763500000.00,10677500000000.00,1986600000000.00,9261100000000.00
8/31/11,15591850000000.00,97.67,0.09,2862173000000.00,10700600000000.00,2105080000000.00,9503439999999.99
9/30/11,15591850000000.00,97.65,0.09,2857717000000.00,10738100000000.00,2119424999999.99,9536075000000.00
10/31/11,15796460000000.00,98.32,0.09,2854649500000.00,10753100000000.00,2143700000000.00,9570400000000.00
11/30/11,15796460000000.00,98.24,0.09,2825922200000.00,10759500000000.00,2167450000000.00,9611400000000.00
12/31/11,15796460000000.00,98.79,0.09,2891339750000.00,10772200000000.00,2157575000000.00,9637550000000.00
1/31/12,16019758000000.00,99.39,0.08,2913951500000.00,10862100000000.00,2201660000000.00,9727720000000.00
2/29/12,16019758000000.00,99.62,0.08,2929930000000.00,10953500000000.00,2209225000000.00,9770325000000.00
3/31/12,16019758000000.00,99.16,0.08,2887272500000.00,10951800000000.00,2224425000000.00,9810950000000.00
4/30/12,16152257000000.00,99.90,0.08,2868677250000.00,10979700000000.00,2247940000000.00,9868859999999.99
5/31/12,16152257000000.00,100.09,0.08,2856312600000.00,10968600000000.00,2256775000000.00,9902025000000.00
6/30/12,16152257000000.00,100.07,0.08,2863870500000.00,10946300000000.00,2273299999999.99,9961725000000.00
7/31/12,16257151000000.00,100.34,0.08,2858675250000.00,10977200000000.00,2313500000000.00,10040260000000.00
